Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Alpha,Alpha,B.1.1.7,0.001,2020-04-05
Alpha,Alpha,B.1.1.7,0.001,2020-04-19
Alpha,Alpha,B.1.1.7,0.008,2020-05-10
Alpha,Alpha,B.1.1.7,0.008,2020-05-17
Alpha,Alpha,B.1.1.7,0.002,2020-05-31
Alpha,Alpha,B.1.1.7,0.006,2020-07-05
Alpha,Alpha,B.1.1.7,0.001,2020-11-01
Alpha,Alpha,B.1.1.7,0.001,2020-11-08
Alpha,Alpha,B.1.1.7,0.002,2020-11-29
Alpha,Alpha,B.1.1.7,0.004,2020-12-13
Alpha,Alpha,B.1.1.7,0.004,2020-12-20
Alpha,Alpha,B.1.1.7,0.013,2020-12-27
Alpha,Alpha,B.1.1.7,0.014,2021-01-03
Alpha,Alpha,B.1.1.7,0.027,2021-01-10
Alpha,Alpha,B.1.1.7,0.052,2021-01-17
Alpha,Alpha,B.1.1.7,0.078,2021-01-24
Alpha,Alpha,B.1.1.7,0.148,2021-01-31
Alpha,Alpha,B.1.1.7,0.24,2021-02-07
Alpha,Alpha,B.1.1.7,0.275,2021-02-14
Alpha,Alpha,B.1.1.7,0.328,2021-02-21
Alpha,Alpha,B.1.1.7,0.387,2021-02-28
Alpha,Alpha,B.1.1.7,0.355,2021-03-07
Alpha,Alpha,B.1.1.7,0.435,2021-03-14
Alpha,Alpha,B.1.1.7,0.444,2021-03-21
Alpha,Alpha,B.1.1.7,0.424,2021-03-28
Alpha,Alpha,B.1.1.7,0.398,2021-04-04
Alpha,Alpha,B.1.1.7,0.477,2021-04-11
Alpha,Alpha,B.1.1.7,0.56,2021-04-18
Alpha,Alpha,B.1.1.7,0.536,2021-04-25
Alpha,Alpha,B.1.1.7,0.599,2021-05-02
Alpha,Alpha,B.1.1.7,0.603,2021-05-09
Alpha,Alpha,B.1.1.7,0.564,2021-05-16
Alpha,Alpha,B.1.1.7,0.575,2021-05-23
Alpha,Alpha,B.1.1.7,0.574,2021-05-30
Alpha,Alpha,B.1.1.7,0.522,2021-06-06
Alpha,Alpha,B.1.1.7,0.432,2021-06-13
Alpha,Alpha,B.1.1.7,0.422,2021-06-20
Alpha,Alpha,B.1.1.7,0.27,2021-06-27
Alpha,Alpha,B.1.1.7,0.204,2021-07-04
Alpha,Alpha,B.1.1.7,0.138,2021-07-11
Alpha,Alpha,B.1.1.7,0.087,2021-07-18
Alpha,Alpha,B.1.1.7,0.057,2021-07-25
Alpha,Alpha,B.1.1.7,0.041,2021-08-01
Alpha,Alpha,B.1.1.7,0.023,2021-08-08
Alpha,Alpha,B.1.1.7,0.013,2021-08-15
Alpha,Alpha,B.1.1.7,0.006,2021-08-22
Alpha,Alpha,B.1.1.7,0.008,2021-08-29
Alpha,Alpha,B.1.1.7,0.005,2021-09-05
Alpha,Alpha,B.1.1.7,0.003,2021-09-12
Alpha,Alpha,B.1.1.7,0.002,2021-09-19
Alpha,Alpha,B.1.1.7,0,2021-09-26
Alpha,Alpha,B.1.1.7,0.001,2021-10-03
Alpha,Alpha,B.1.1.7,0.001,2021-10-10
Alpha,Alpha,B.1.1.7,0,2021-10-24
Alpha,Alpha,B.1.1.7,0,2021-10-31
Alpha,Alpha,B.1.1.7,0,2021-11-14
Alpha,Alpha,Q.1,0,2021-03-21
Alpha,Alpha,Q.1,0,2021-04-18
Alpha,Alpha,Q.1,0,2021-04-25
Alpha,Alpha,Q.1,0.001,2021-05-02
Alpha,Alpha,Q.1,0.001,2021-05-09
Alpha,Alpha,Q.1,0,2021-05-16
Alpha,Alpha,Q.1,0.001,2021-05-23
Alpha,Alpha,Q.1,0,2021-06-06
Alpha,Alpha,Q.1,0,2021-08-08
Alpha,Alpha,Q.3,0,2021-04-18
Alpha,Alpha,Q.3,0,2021-04-25
Alpha,Alpha,Q.3,0,2021-05-02
Alpha,Alpha,Q.3,0,2021-05-09
Alpha,Alpha,Q.3,0,2021-05-16
Alpha,Alpha,Q.3,0.001,2021-05-23
Alpha,Alpha,Q.4,0.001,2021-01-10
Alpha,Alpha,Q.4,0,2021-03-07
Alpha,Alpha,Q.4,0,2021-03-14
Alpha,Alpha,Q.4,0,2021-03-21
Beta,Beta,B.1.351,0.001,2020-12-13
Beta,Beta,B.1.351,0.005,2020-12-20
Beta,Beta,B.1.351,0.002,2020-12-27
Beta,Beta,B.1.351,0.007,2021-01-03
Beta,Beta,B.1.351,0.009,2021-01-10
Beta,Beta,B.1.351,0.005,2021-01-17
Beta,Beta,B.1.351,0.007,2021-01-24
Beta,Beta,B.1.351,0.01,2021-01-31
Beta,Beta,B.1.351,0.02,2021-02-07
Beta,Beta,B.1.351,0.011,2021-02-14
Beta,Beta,B.1.351,0.019,2021-02-21
Beta,Beta,B.1.351,0.01,2021-02-28
Beta,Beta,B.1.351,0.009,2021-03-07
Beta,Beta,B.1.351,0.016,2021-03-14
Beta,Beta,B.1.351,0.018,2021-03-21
Beta,Beta,B.1.351,0.021,2021-03-28
Beta,Beta,B.1.351,0.026,2021-04-04
Beta,Beta,B.1.351,0.017,2021-04-11
Beta,Beta,B.1.351,0.01,2021-04-18
Beta,Beta,B.1.351,0.015,2021-04-25
Beta,Beta,B.1.351,0.009,2021-05-02
Beta,Beta,B.1.351,0.007,2021-05-09
Beta,Beta,B.1.351,0.01,2021-05-16
Beta,Beta,B.1.351,0.006,2021-05-23
Beta,Beta,B.1.351,0.006,2021-05-30
Beta,Beta,B.1.351,0.005,2021-06-06
Beta,Beta,B.1.351,0.005,2021-06-13
Beta,Beta,B.1.351,0.005,2021-06-20
Beta,Beta,B.1.351,0.008,2021-06-27
Beta,Beta,B.1.351,0.004,2021-07-04
Beta,Beta,B.1.351,0.002,2021-07-11
Beta,Beta,B.1.351,0.002,2021-07-18
Beta,Beta,B.1.351,0,2021-07-25
Beta,Beta,B.1.351,0,2021-09-12
Beta,Beta,B.1.351,0,2021-10-24
Beta,Beta,B.1.351,0,2021-11-28
Beta,Beta,B.1.351.2,0.001,2021-01-31
Beta,Beta,B.1.351.2,0.001,2021-02-07
Beta,Beta,B.1.351.2,0.001,2021-02-14
Beta,Beta,B.1.351.2,0.001,2021-02-21
Beta,Beta,B.1.351.2,0.002,2021-02-28
Beta,Beta,B.1.351.2,0,2021-03-07
Beta,Beta,B.1.351.2,0,2021-03-14
Beta,Beta,B.1.351.2,0,2021-03-28
Beta,Beta,B.1.351.2,0,2021-04-04
Beta,Beta,B.1.351.2,0,2021-04-11
Beta,Beta,B.1.351.2,0,2021-04-18
Beta,Beta,B.1.351.3,0.001,2021-02-28
Beta,Beta,B.1.351.3,0,2021-03-21
Beta,Beta,B.1.351.3,0.001,2021-03-28
Beta,Beta,B.1.351.3,0.003,2021-04-04
Beta,Beta,B.1.351.3,0.003,2021-04-11
Beta,Beta,B.1.351.3,0.002,2021-04-18
Beta,Beta,B.1.351.3,0.001,2021-04-25
Beta,Beta,B.1.351.3,0,2021-05-02
Beta,Beta,B.1.351.3,0.001,2021-05-09
Beta,Beta,B.1.351.3,0,2021-05-16
Beta,Beta,B.1.351.3,0,2021-05-23
Beta,Beta,B.1.351.3,0,2021-05-30
Beta,Beta,B.1.351.3,0.003,2021-06-20
Beta,Beta,B.1.351.3,0,2021-07-18
Beta,Beta,B.1.351.5,0,2021-04-04
Beta,Beta,B.1.351.5,0,2021-04-11
Beta,Beta,B.1.351.5,0,2021-04-18
Beta,Beta,B.1.351.5,0.001,2021-05-09
Beta,Beta,B.1.351.5,0.001,2021-05-30
Beta,Beta,B.1.351.5,0,2021-08-08
Delta,Delta,AY.103,0.002,2021-07-04
Delta,Delta,AY.103,0.007,2021-07-11
Delta,Delta,AY.103,0.004,2021-07-18
Delta,Delta,AY.103,0.003,2021-07-25
Delta,Delta,AY.103,0.005,2021-08-01
Delta,Delta,AY.103,0.005,2021-08-08
Delta,Delta,AY.103,0.01,2021-08-15
Delta,Delta,AY.103,0.012,2021-08-22
Delta,Delta,AY.103,0.011,2021-08-29
Delta,Delta,AY.103,0.017,2021-09-05
Delta,Delta,AY.103,0.045,2021-09-12
Delta,Delta,AY.103,0.029,2021-09-19
Delta,Delta,AY.103,0.022,2021-09-26
Delta,Delta,AY.103,0.022,2021-10-03
Delta,Delta,AY.103,0.042,2021-10-10
Delta,Delta,AY.103,0.022,2021-10-17
Delta,Delta,AY.103,0.044,2021-10-24
Delta,Delta,AY.103,0.038,2021-10-31
Delta,Delta,AY.103,0.094,2021-11-07
Delta,Delta,AY.103,0.111,2021-11-14
Delta,Delta,AY.103,0.141,2021-11-21
Delta,Delta,AY.103,0.124,2021-11-28
Delta,Delta,AY.103,0.079,2021-12-05
Delta,Delta,AY.103,0.035,2021-12-12
Delta,Delta,AY.103,0.01,2021-12-19
Delta,Delta,AY.103,0.004,2021-12-26
Delta,Delta,AY.103,0.003,2022-01-02
Delta,Delta,AY.103,0.002,2022-01-09
Delta,Delta,AY.103,0.001,2022-01-16
Delta,Delta,AY.103,0.001,2022-01-23
Delta,Delta,AY.103,0.001,2022-01-30
Delta,Delta,AY.103,0,2022-02-06
Delta,Delta,AY.103,0,2022-04-17
Delta,Delta,AY.25.1,0.001,2020-11-15
Delta,Delta,AY.25.1,0,2021-05-02
Delta,Delta,AY.25.1,0.002,2021-06-13
Delta,Delta,AY.25.1,0.001,2021-06-20
Delta,Delta,AY.25.1,0.007,2021-06-27
Delta,Delta,AY.25.1,0.035,2021-07-04
Delta,Delta,AY.25.1,0.075,2021-07-11
Delta,Delta,AY.25.1,0.19,2021-07-18
Delta,Delta,AY.25.1,0.336,2021-07-25
Delta,Delta,AY.25.1,0.382,2021-08-01
Delta,Delta,AY.25.1,0.4,2021-08-08
Delta,Delta,AY.25.1,0.378,2021-08-15
Delta,Delta,AY.25.1,0.387,2021-08-22
Delta,Delta,AY.25.1,0.403,2021-08-29
Delta,Delta,AY.25.1,0.4,2021-09-05
Delta,Delta,AY.25.1,0.37,2021-09-12
Delta,Delta,AY.25.1,0.438,2021-09-19
Delta,Delta,AY.25.1,0.481,2021-09-26
Delta,Delta,AY.25.1,0.547,2021-10-03
Delta,Delta,AY.25.1,0.558,2021-10-10
Delta,Delta,AY.25.1,0.578,2021-10-17
Delta,Delta,AY.25.1,0.542,2021-10-24
Delta,Delta,AY.25.1,0.576,2021-10-31
Delta,Delta,AY.25.1,0.499,2021-11-07
Delta,Delta,AY.25.1,0.478,2021-11-14
Delta,Delta,AY.25.1,0.438,2021-11-21
Delta,Delta,AY.25.1,0.425,2021-11-28
Delta,Delta,AY.25.1,0.356,2021-12-05
Delta,Delta,AY.25.1,0.228,2021-12-12
Delta,Delta,AY.25.1,0.09,2021-12-19
Delta,Delta,AY.25.1,0.032,2021-12-26
Delta,Delta,AY.25.1,0.023,2022-01-02
Delta,Delta,AY.25.1,0.016,2022-01-09
Delta,Delta,AY.25.1,0.007,2022-01-16
Delta,Delta,AY.25.1,0.007,2022-01-23
Delta,Delta,AY.25.1,0.002,2022-01-30
Delta,Delta,AY.25.1,0.001,2022-02-06
Delta,Delta,AY.25.1,0.001,2022-02-13
Delta,Delta,AY.25.1,0,2022-02-20
Delta,Delta,AY.25.1,0,2022-02-27
Delta,Delta,AY.25.1,0,2022-03-27
Delta,Delta,AY.25.1,0,2022-04-24
Delta,Delta,AY.27,0.001,2021-04-11
Delta,Delta,AY.27,0.001,2021-04-18
Delta,Delta,AY.27,0.001,2021-04-25
Delta,Delta,AY.27,0.001,2021-05-02
Delta,Delta,AY.27,0.003,2021-05-09
Delta,Delta,AY.27,0.002,2021-05-16
Delta,Delta,AY.27,0.002,2021-05-23
Delta,Delta,AY.27,0.001,2021-05-30
Delta,Delta,AY.27,0.024,2021-06-06
Delta,Delta,AY.27,0.037,2021-06-13
Delta,Delta,AY.27,0.036,2021-06-20
Delta,Delta,AY.27,0.032,2021-06-27
Delta,Delta,AY.27,0.024,2021-07-04
Delta,Delta,AY.27,0.042,2021-07-11
Delta,Delta,AY.27,0.13,2021-07-18
Delta,Delta,AY.27,0.155,2021-07-25
Delta,Delta,AY.27,0.156,2021-08-01
Delta,Delta,AY.27,0.205,2021-08-08
Delta,Delta,AY.27,0.228,2021-08-15
Delta,Delta,AY.27,0.277,2021-08-22
Delta,Delta,AY.27,0.31,2021-08-29
Delta,Delta,AY.27,0.321,2021-09-05
Delta,Delta,AY.27,0.272,2021-09-12
Delta,Delta,AY.27,0.264,2021-09-19
Delta,Delta,AY.27,0.245,2021-09-26
Delta,Delta,AY.27,0.221,2021-10-03
Delta,Delta,AY.27,0.196,2021-10-10
Delta,Delta,AY.27,0.199,2021-10-17
Delta,Delta,AY.27,0.181,2021-10-24
Delta,Delta,AY.27,0.143,2021-10-31
Delta,Delta,AY.27,0.114,2021-11-07
Delta,Delta,AY.27,0.103,2021-11-14
Delta,Delta,AY.27,0.082,2021-11-21
Delta,Delta,AY.27,0.059,2021-11-28
Delta,Delta,AY.27,0.033,2021-12-05
Delta,Delta,AY.27,0.019,2021-12-12
Delta,Delta,AY.27,0.009,2021-12-19
Delta,Delta,AY.27,0.003,2021-12-26
Delta,Delta,AY.27,0.002,2022-01-02
Delta,Delta,AY.27,0.001,2022-01-09
Delta,Delta,AY.27,0.001,2022-01-16
Delta,Delta,AY.27,0.001,2022-01-23
Delta,Delta,AY.27,0.001,2022-01-30
Delta,Delta,AY.27,0.001,2022-02-06
Delta,Delta,AY.27,0,2022-04-24
Delta,Delta,B.1.617.2,0,2021-01-24
Delta,Delta,B.1.617.2,0,2021-02-28
Delta,Delta,B.1.617.2,0.001,2021-03-21
Delta,Delta,B.1.617.2,0.001,2021-03-28
Delta,Delta,B.1.617.2,0.005,2021-04-04
Delta,Delta,B.1.617.2,0.012,2021-04-11
Delta,Delta,B.1.617.2,0.029,2021-04-18
Delta,Delta,B.1.617.2,0.035,2021-04-25
Delta,Delta,B.1.617.2,0.032,2021-05-02
Delta,Delta,B.1.617.2,0.05,2021-05-09
Delta,Delta,B.1.617.2,0.056,2021-05-16
Delta,Delta,B.1.617.2,0.079,2021-05-23
Delta,Delta,B.1.617.2,0.073,2021-05-30
Delta,Delta,B.1.617.2,0.064,2021-06-06
Delta,Delta,B.1.617.2,0.078,2021-06-13
Delta,Delta,B.1.617.2,0.054,2021-06-20
Delta,Delta,B.1.617.2,0.069,2021-06-27
Delta,Delta,B.1.617.2,0.07,2021-07-04
Delta,Delta,B.1.617.2,0.06,2021-07-11
Delta,Delta,B.1.617.2,0.054,2021-07-18
Delta,Delta,B.1.617.2,0.036,2021-07-25
Delta,Delta,B.1.617.2,0.043,2021-08-01
Delta,Delta,B.1.617.2,0.036,2021-08-08
Delta,Delta,B.1.617.2,0.039,2021-08-15
Delta,Delta,B.1.617.2,0.037,2021-08-22
Delta,Delta,B.1.617.2,0.032,2021-08-29
Delta,Delta,B.1.617.2,0.033,2021-09-05
Delta,Delta,B.1.617.2,0.042,2021-09-12
Delta,Delta,B.1.617.2,0.037,2021-09-19
Delta,Delta,B.1.617.2,0.042,2021-09-26
Delta,Delta,B.1.617.2,0.038,2021-10-03
Delta,Delta,B.1.617.2,0.04,2021-10-10
Delta,Delta,B.1.617.2,0.038,2021-10-17
Delta,Delta,B.1.617.2,0.046,2021-10-24
Delta,Delta,B.1.617.2,0.039,2021-10-31
Delta,Delta,B.1.617.2,0.035,2021-11-07
Delta,Delta,B.1.617.2,0.037,2021-11-14
Delta,Delta,B.1.617.2,0.027,2021-11-21
Delta,Delta,B.1.617.2,0.024,2021-11-28
Delta,Delta,B.1.617.2,0.023,2021-12-05
Delta,Delta,B.1.617.2,0.013,2021-12-12
Delta,Delta,B.1.617.2,0.005,2021-12-19
Delta,Delta,B.1.617.2,0.002,2021-12-26
Delta,Delta,B.1.617.2,0.003,2022-01-02
Delta,Delta,B.1.617.2,0.001,2022-01-09
Delta,Delta,B.1.617.2,0.001,2022-01-16
Delta,Delta,B.1.617.2,0.001,2022-01-23
Delta,Delta,B.1.617.2,0,2022-01-30
Delta,Delta,B.1.617.2,0.001,2022-02-06
Delta,Delta,B.1.617.2,0,2022-02-13
Delta,Delta,B.1.617.2,0,2022-02-20
Delta,Delta,B.1.617.2,0,2022-03-27
Delta,Delta,Other Delta,0.001,2020-10-25
Delta,Delta,Other Delta,0.001,2020-11-22
Delta,Delta,Other Delta,0.001,2020-12-27
Delta,Delta,Other Delta,0,2021-03-28
Delta,Delta,Other Delta,0.001,2021-04-04
Delta,Delta,Other Delta,0.002,2021-04-11
Delta,Delta,Other Delta,0.006,2021-04-18
Delta,Delta,Other Delta,0.012,2021-04-25
Delta,Delta,Other Delta,0.016,2021-05-02
Delta,Delta,Other Delta,0.022,2021-05-09
Delta,Delta,Other Delta,0.041,2021-05-16
Delta,Delta,Other Delta,0.05,2021-05-23
Delta,Delta,Other Delta,0.083,2021-05-30
Delta,Delta,Other Delta,0.147,2021-06-06
Delta,Delta,Other Delta,0.243,2021-06-13
Delta,Delta,Other Delta,0.287,2021-06-20
Delta,Delta,Other Delta,0.472,2021-06-27
Delta,Delta,Other Delta,0.529,2021-07-04
Delta,Delta,Other Delta,0.532,2021-07-11
Delta,Delta,Other Delta,0.435,2021-07-18
Delta,Delta,Other Delta,0.367,2021-07-25
Delta,Delta,Other Delta,0.323,2021-08-01
Delta,Delta,Other Delta,0.285,2021-08-08
Delta,Delta,Other Delta,0.306,2021-08-15
Delta,Delta,Other Delta,0.259,2021-08-22
Delta,Delta,Other Delta,0.23,2021-08-29
Delta,Delta,Other Delta,0.22,2021-09-05
Delta,Delta,Other Delta,0.266,2021-09-12
Delta,Delta,Other Delta,0.228,2021-09-19
Delta,Delta,Other Delta,0.21,2021-09-26
Delta,Delta,Other Delta,0.169,2021-10-03
Delta,Delta,Other Delta,0.162,2021-10-10
Delta,Delta,Other Delta,0.163,2021-10-17
Delta,Delta,Other Delta,0.186,2021-10-24
Delta,Delta,Other Delta,0.202,2021-10-31
Delta,Delta,Other Delta,0.258,2021-11-07
Delta,Delta,Other Delta,0.27,2021-11-14
Delta,Delta,Other Delta,0.31,2021-11-21
Delta,Delta,Other Delta,0.346,2021-11-28
Delta,Delta,Other Delta,0.285,2021-12-05
Delta,Delta,Other Delta,0.136,2021-12-12
Delta,Delta,Other Delta,0.04,2021-12-19
Delta,Delta,Other Delta,0.016,2021-12-26
Delta,Delta,Other Delta,0.01,2022-01-02
Delta,Delta,Other Delta,0.008,2022-01-09
Delta,Delta,Other Delta,0.004,2022-01-16
Delta,Delta,Other Delta,0.002,2022-01-23
Delta,Delta,Other Delta,0.001,2022-01-30
Delta,Delta,Other Delta,0.001,2022-02-06
Delta,Delta,Other Delta,0.001,2022-02-13
Delta,Delta,Other Delta,0,2022-02-20
Delta,Delta,Other Delta,0.001,2022-02-27
Eta,Eta,B.1.525,0.003,2020-12-13
Eta,Eta,B.1.525,0.001,2020-12-27
Eta,Eta,B.1.525,0.001,2021-01-03
Eta,Eta,B.1.525,0.001,2021-01-10
Eta,Eta,B.1.525,0.001,2021-01-17
Eta,Eta,B.1.525,0.002,2021-01-24
Eta,Eta,B.1.525,0.004,2021-01-31
Eta,Eta,B.1.525,0.009,2021-02-07
Eta,Eta,B.1.525,0.015,2021-02-14
Eta,Eta,B.1.525,0.019,2021-02-21
Eta,Eta,B.1.525,0.03,2021-02-28
Eta,Eta,B.1.525,0.026,2021-03-07
Eta,Eta,B.1.525,0.011,2021-03-14
Eta,Eta,B.1.525,0.04,2021-03-21
Eta,Eta,B.1.525,0.048,2021-03-28
Eta,Eta,B.1.525,0.042,2021-04-04
Eta,Eta,B.1.525,0.033,2021-04-11
Eta,Eta,B.1.525,0.018,2021-04-18
Eta,Eta,B.1.525,0.021,2021-04-25
Eta,Eta,B.1.525,0.022,2021-05-02
Eta,Eta,B.1.525,0.015,2021-05-09
Eta,Eta,B.1.525,0.011,2021-05-16
Eta,Eta,B.1.525,0.01,2021-05-23
Eta,Eta,B.1.525,0.004,2021-05-30
Eta,Eta,B.1.525,0.016,2021-06-06
Eta,Eta,B.1.525,0.018,2021-06-13
Eta,Eta,B.1.525,0.015,2021-06-20
Eta,Eta,B.1.525,0.003,2021-06-27
Eta,Eta,B.1.525,0.002,2021-07-04
Eta,Eta,B.1.525,0.002,2021-07-11
Eta,Eta,B.1.525,0,2021-08-01
Eta,Eta,B.1.525,0,2021-10-24
Eta,Eta,B.1.525,0,2021-11-28
Gamma,Gamma,P.1,0,2021-02-07
Gamma,Gamma,P.1,0,2021-02-14
Gamma,Gamma,P.1,0.004,2021-02-21
Gamma,Gamma,P.1,0.003,2021-02-28
Gamma,Gamma,P.1,0.006,2021-03-07
Gamma,Gamma,P.1,0.003,2021-03-14
Gamma,Gamma,P.1,0.004,2021-03-21
Gamma,Gamma,P.1,0.005,2021-03-28
Gamma,Gamma,P.1,0.005,2021-04-04
Gamma,Gamma,P.1,0.006,2021-04-11
Gamma,Gamma,P.1,0.007,2021-04-18
Gamma,Gamma,P.1,0.008,2021-04-25
Gamma,Gamma,P.1,0.01,2021-05-02
Gamma,Gamma,P.1,0.011,2021-05-09
Gamma,Gamma,P.1,0.009,2021-05-16
Gamma,Gamma,P.1,0.009,2021-05-23
Gamma,Gamma,P.1,0.023,2021-05-30
Gamma,Gamma,P.1,0.013,2021-06-06
Gamma,Gamma,P.1,0.015,2021-06-13
Gamma,Gamma,P.1,0.011,2021-06-20
Gamma,Gamma,P.1,0.014,2021-06-27
Gamma,Gamma,P.1,0.007,2021-07-04
Gamma,Gamma,P.1,0.008,2021-07-11
Gamma,Gamma,P.1,0.002,2021-07-18
Gamma,Gamma,P.1,0.001,2021-07-25
Gamma,Gamma,P.1,0.001,2021-08-01
Gamma,Gamma,P.1,0.001,2021-08-08
Gamma,Gamma,P.1,0,2021-08-15
Gamma,Gamma,P.1,0.001,2021-08-22
Gamma,Gamma,P.1,0.001,2021-08-29
Gamma,Gamma,P.1,0,2021-09-05
Gamma,Gamma,P.1,0,2021-09-19
Gamma,Gamma,P.1,0,2021-09-26
Gamma,Gamma,P.1,0,2021-10-24
Gamma,Gamma,P.1,0,2021-11-28
Gamma,Gamma,P.1.1,0,2021-03-21
Gamma,Gamma,P.1.1,0,2021-05-23
Gamma,Gamma,P.1.1,0.001,2021-06-27
Gamma,Gamma,P.1.10,0,2021-02-14
Gamma,Gamma,P.1.10,0,2021-04-04
Gamma,Gamma,P.1.10,0,2021-04-11
Gamma,Gamma,P.1.10,0,2021-04-18
Gamma,Gamma,P.1.10,0,2021-04-25
Gamma,Gamma,P.1.10,0,2021-05-09
Gamma,Gamma,P.1.10,0.001,2021-05-30
Gamma,Gamma,P.1.12,0,2021-03-07
Gamma,Gamma,P.1.12,0,2021-05-16
Gamma,Gamma,P.1.12,0,2021-07-25
Gamma,Gamma,P.1.12,0,2021-08-15
Gamma,Gamma,P.1.12.1,0,2021-10-03
Gamma,Gamma,P.1.12.1,0,2021-10-17
Gamma,Gamma,P.1.14,0.001,2021-01-10
Gamma,Gamma,P.1.14,0.003,2021-01-31
Gamma,Gamma,P.1.14,0.005,2021-02-07
Gamma,Gamma,P.1.14,0.014,2021-02-14
Gamma,Gamma,P.1.14,0.019,2021-02-21
Gamma,Gamma,P.1.14,0.025,2021-02-28
Gamma,Gamma,P.1.14,0.05,2021-03-07
Gamma,Gamma,P.1.14,0.089,2021-03-14
Gamma,Gamma,P.1.14,0.176,2021-03-21
Gamma,Gamma,P.1.14,0.231,2021-03-28
Gamma,Gamma,P.1.14,0.259,2021-04-04
Gamma,Gamma,P.1.14,0.23,2021-04-11
Gamma,Gamma,P.1.14,0.18,2021-04-18
Gamma,Gamma,P.1.14,0.219,2021-04-25
Gamma,Gamma,P.1.14,0.194,2021-05-02
Gamma,Gamma,P.1.14,0.211,2021-05-09
Gamma,Gamma,P.1.14,0.233,2021-05-16
Gamma,Gamma,P.1.14,0.209,2021-05-23
Gamma,Gamma,P.1.14,0.186,2021-05-30
Gamma,Gamma,P.1.14,0.136,2021-06-06
Gamma,Gamma,P.1.14,0.104,2021-06-13
Gamma,Gamma,P.1.14,0.099,2021-06-20
Gamma,Gamma,P.1.14,0.087,2021-06-27
Gamma,Gamma,P.1.14,0.088,2021-07-04
Gamma,Gamma,P.1.14,0.081,2021-07-11
Gamma,Gamma,P.1.14,0.05,2021-07-18
Gamma,Gamma,P.1.14,0.018,2021-07-25
Gamma,Gamma,P.1.14,0.012,2021-08-01
Gamma,Gamma,P.1.14,0.005,2021-08-08
Gamma,Gamma,P.1.14,0.004,2021-08-15
Gamma,Gamma,P.1.14,0.002,2021-08-22
Gamma,Gamma,P.1.14,0.002,2021-08-29
Gamma,Gamma,P.1.14,0.001,2021-09-05
Gamma,Gamma,P.1.14,0,2021-09-12
Gamma,Gamma,P.1.14,0,2021-10-03
Gamma,Gamma,P.1.15,0,2021-05-09
Gamma,Gamma,P.1.15,0,2021-05-16
Gamma,Gamma,P.1.15,0,2021-05-23
Gamma,Gamma,P.1.15,0.001,2021-06-27
Gamma,Gamma,P.1.15,0,2021-08-15
Gamma,Gamma,P.1.17,0.001,2021-03-21
Gamma,Gamma,P.1.17,0.001,2021-03-28
Gamma,Gamma,P.1.17,0,2021-04-11
Gamma,Gamma,P.1.17,0.001,2021-04-25
Gamma,Gamma,P.1.17,0.001,2021-05-02
Gamma,Gamma,P.1.17,0.001,2021-05-09
Gamma,Gamma,P.1.17,0.001,2021-05-16
Gamma,Gamma,P.1.17,0.001,2021-05-23
Gamma,Gamma,P.1.17,0.001,2021-05-30
Gamma,Gamma,P.1.17,0.001,2021-06-06
Gamma,Gamma,P.1.17,0.002,2021-06-13
Gamma,Gamma,P.1.17,0,2021-06-20
Gamma,Gamma,P.1.17,0.003,2021-07-04
Gamma,Gamma,P.1.17,0.003,2021-07-11
Gamma,Gamma,P.1.17,0.001,2021-07-25
Gamma,Gamma,P.1.17,0,2021-08-08
Gamma,Gamma,P.1.17,0,2021-08-15
Gamma,Gamma,P.1.17,0,2021-08-22
Gamma,Gamma,P.1.2,0,2021-08-08
Gamma,Gamma,P.1.7,0,2021-07-18
Gamma,Gamma,P.1.7,0,2021-07-25
Gamma,Gamma,P.1.7,0.001,2021-08-01
Omicron,BA.1,BA.1.1,0,2021-01-17
Omicron,BA.1,BA.1.1,0.001,2021-11-21
Omicron,BA.1,BA.1.1,0.006,2021-11-28
Omicron,BA.1,BA.1.1,0.06,2021-12-05
Omicron,BA.1,BA.1.1,0.12,2021-12-12
Omicron,BA.1,BA.1.1,0.2,2021-12-19
Omicron,BA.1,BA.1.1,0.314,2021-12-26
Omicron,BA.1,BA.1.1,0.375,2022-01-02
Omicron,BA.1,BA.1.1,0.389,2022-01-09
Omicron,BA.1,BA.1.1,0.44,2022-01-16
Omicron,BA.1,BA.1.1,0.44,2022-01-23
Omicron,BA.1,BA.1.1,0.458,2022-01-30
Omicron,BA.1,BA.1.1,0.485,2022-02-06
Omicron,BA.1,BA.1.1,0.507,2022-02-13
Omicron,BA.1,BA.1.1,0.463,2022-02-20
Omicron,BA.1,BA.1.1,0.443,2022-02-27
Omicron,BA.1,BA.1.1,0.408,2022-03-06
Omicron,BA.1,BA.1.1,0.391,2022-03-13
Omicron,BA.1,BA.1.1,0.29,2022-03-20
Omicron,BA.1,BA.1.1,0.19,2022-03-27
Omicron,BA.1,BA.1.1,0.124,2022-04-03
Omicron,BA.1,BA.1.1,0.079,2022-04-10
Omicron,BA.1,BA.1.1,0.047,2022-04-17
Omicron,BA.1,BA.1.1,0.031,2022-04-24
Omicron,BA.1,BA.1.1,0.019,2022-05-01
Omicron,BA.1,BA.1.1,0.012,2022-05-08
Omicron,BA.1,BA.1.1,0.009,2022-05-15
Omicron,BA.1,BA.1.1,0.016,2022-05-22
Omicron,BA.1,BA.1.1.16,0.02,2021-12-12
